"STATUSES_COUNT","FRIENDS_COUNT","LISTED_COUNT","USER_FAVORITES","DESCRIPTION_LEN","HAS_URL","HAS_LOCATION","REPLIES","MENTIONS","RETWEETS_OF_USER_TWEETS","RETWEETS_BY_USER","FAVORITE_COUNT_FOR_USER","HASHTAGS","BROADCAST_COMMS","QUOTES","URLS","TWEETS_EXAMINED","USER_AGE","FOLLOWERS_COUNT"
37903,205,46,19625,36,1,1,1540,1458,275,217,3726,19,1535,8,34,3201,679.836973893248,695
12396,104,2,953,63,0,1,1535,1720,351,190,589,146,1488,14,36,3215,440.321742411766,112
21130,138,4,4800,107,0,0,833,766,34,899,594,42,1528,5,42,3181,1106.83289981917,228
502,310,88,0,117,1,1,0,0,3,0,9,2191,492,0,492,492,2652.06019148584,467
88959,721,188,45,68,1,1,188,557,1972,287,1818,1624,2428,2,2542,3208,2737.3256544488,13348
34407,193,15,4,127,1,1,0,0,9,0,149,3226,3248,0,0,3248,1176.33611741177,144
1957,451,1,12130,80,0,1,245,188,8,338,275,2,137,0,1,662,316.534346578433,300
2296,410,28,5764,13,1,0,1105,1035,1195,165,3355,60,1085,1,53,2270,756.39794611547,522
59015,536,2,7325,126,0,1,306,344,600,2617,142,61,282,10,26,3211,622.116649819174,322
2397,178,0,3406,84,0,0,1308,1427,169,437,3356,26,627,3,4,2398,64.7424137080626,153
4572,1391,9,1980,146,0,1,1422,1566,909,904,1339,133,878,0,9,3202,151.903119726581,1703
52446,3130,8,52030,16,0,0,0,0,0,3193,0,0,2,0,1,3195,1374.3072632451,380
6848,173,7,637,47,0,0,861,876,339,1244,630,93,1053,4,34,3160,1726.11391833769,148
4356,741,0,0,0,0,0,0,0,0,3245,0,0,0,0,0,3245,44.5471938006552,128
1407,44,3,106,39,0,1,747,738,2434,242,3349,340,426,0,55,1384,141.635642874729,685
654,223,71,0,99,1,1,0,0,22,0,38,1267,257,0,257,257,2559.58381417103,336
7634,234,1,13502,48,1,1,1336,1649,261,725,5143,75,1103,18,467,3178,623.407656763618,311
31994,175,2,11128,113,0,1,987,1193,288,760,1161,39,1442,138,144,3186,74.393096578433,200
18250,213,10,11306,109,0,1,233,228,100,1669,1908,71,1326,24,29,3223,426.366962319174,243
2097,268,0,2447,41,0,1,1220,1288,10,184,1422,5,644,0,4,2060,539.399080374729,272
65796,20,3,0,49,1,0,0,0,6,0,82,3419,3217,0,3214,3217,1006.45736741177,1060
32114,738,1,8841,21,1,1,303,372,794,1765,480,7,1112,168,194,3192,920.747332689544,654
79989,393,35,16715,107,1,0,475,484,196,1352,1012,153,1385,12,176,3218,1201.25767991177,790
1168,449,0,60,108,0,1,56,137,10,932,3,3,125,0,11,1141,1723.78869843028,171
36792,728,5,25854,39,1,1,9,23,4,3194,5,0,2,0,12,3215,2426.24404565251,215
12572,426,9,2695,20,0,1,693,856,112,1824,434,58,619,23,336,3233,2986.14764518954,155
10495,36207,70,6442,20,1,0,0,8,195514,31,461529,6,3182,0,2,3217,1366.88021463399,44736
18201,116,1,8867,20,0,0,427,432,240,1191,475,75,1597,3,11,3207,648.231406763618,183
10800,149,1,80,61,0,1,2629,2882,224,16,206,23,572,36,45,3232,134.515527133989,178
37310,1258,52,1713,14,1,1,1159,1230,221,1400,727,106,623,144,152,3205,403.894034078433,2492
7793,373,0,15655,15,0,1,317,485,34,2637,202,3,237,124,140,3203,795.617992411766,275
48083,297,21,15617,62,0,1,324,539,144,2777,158,16,88,15,20,3195,937.947980837692,517
4215,166,0,378,47,0,0,209,240,1121,613,941,7,2358,241,283,3191,352.763582689544,474
12410,246,19,300,133,1,1,2078,2194,617,170,949,13,980,1,8,3207,333.160839633989,310
6313,34,0,46,68,0,1,1745,1142,52,188,82,18,1917,223,316,3225,383.34112898584,123
2473,240,1,11241,45,0,0,1365,1453,22,846,658,27,269,0,88,2473,670.558131300655,110
5828,405,0,5642,25,1,1,298,513,723,1775,4402,62,1017,23,43,3181,882.826210004359,1076
13811,369,4,8047,88,0,1,837,867,159,944,1473,99,1424,9,51,3202,381.073374356211,190
16452,894,0,1676,45,0,1,2,3,0,3190,0,4,10,0,0,3202,1015.28090907843,403
1501,1078,18,225,160,1,1,453,911,24,602,84,69,473,13,416,1623,957.479797967322,321
2179,713,24,210,126,0,1,61,405,49898,188,20696,1933,1720,0,1061,2165,2122.84122157843,12588
21749,1003,8,7823,160,0,1,484,585,255,1852,792,140,891,138,272,3221,987.745237782137,894
17406,264,24,2862,154,0,1,701,741,147,1331,520,165,1195,7,71,3205,1111.04776093028,277
644,131,0,1177,130,0,1,24,40,50,173,80,26,432,3,10,638,774.082668337692,146
65634,6864,128,3,159,1,0,0,267,733,0,1443,2650,2962,0,3229,3211,2697.88441602288,8399
4545,366,6,2935,157,0,0,789,716,455,541,1887,20,1976,0,0,3226,228.708235467322,347
